artist inverted,track,time,genre,date entered,x1st.week,x2nd.week,x3rd.week,x4th.week,x5th.week
Destiny's Child,Independent Women Part I,3:38,Rock,23/09/2000,78,63,49,33,23
Santana,"Maria, Maria",4:18,Rock,12/02/2000,15,8,6,5,2
Savage Garden,I Knew I Loved You,4:07,Rock,23/10/1999,71,48,43,31,20
Madonna,Music,3:45,Rock,12/08/2000,41,23,18,14,2
"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,5/08/2000,57,47,45,29,23
Janet,Doesn't Really Matter,4:17,Rock,17/06/2000,59,52,43,30,29
Destiny's Child,Say My Name,4:31,Rock,25/12/1999,83,83,44,38,16
"Iglesias, Enrique",Be With You,3:36,Latin,1/04/2000,63,45,34,23,17
Sisqo,Incomplete,3:52,Rock,24/06/2000,77,66,61,61,61
Lonestar,Amazed,4:25,Country,5/06/1999,81,54,44,39,38
N'Sync,It's Gonna Be Me,3:10,Rock,6/05/2000,82,70,51,39,26
"Aguilera, Christina",What A Girl Wants,3:18,Rock,27/11/1999,71,51,28,18,13
Vertical Horizon,Everything You Want,4:01,Rock,22/01/2000,70,61,53,46,40
Creed,With Arms Wide Open,3:52,Rock,13/05/2000,84,78,76,74,70
Aaliyah,Try Again,4:03,Rock,18/03/2000,59,53,38,28,21
matchbox twenty,Bent,4:12,Rock,29/04/2000,60,37,29,24,22
"Carey, Mariah",Thank God I Found You,4:14,Rock,11/12/1999,82,68,50,50,41
"Hill, Faith",Breathe,4:04,Rap,6/11/1999,81,68,62,51,42
Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,19/08/2000,72,57,52,47,42
Dream,He Loves U Not,3:43,Rock,30/09/2000,99,92,81,59,47
"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,18/03/2000,63,55,48,39,35
"Anthony, Marc",You Sang To Me,3:50,Latin,26/02/2000,77,54,50,43,30
98<a1>,Give Me Just One Night (Una Noche),3:24,Rock,19/08/2000,51,39,34,26,26
Destiny's Child,Jumpin' Jumpin',3:48,Rock,13/05/2000,74,71,65,62,57
3 Doors Down,Kryptonite,3:53,Rock,8/04/2000,81,70,68,67,66
Sisqo,Thong Song,4:05,Rock,29/01/2000,74,63,35,26,26
"Aguilera, Christina",I Turn To You,4:00,Rock,15/04/2000,50,39,30,28,21
