Player,RightHanded,2000,2001,2002,2003,2004,2005
A Flintoff,yes,"6 innings, 6 outs, 83 runs, 209 balls","5 innings, 5 outs, 26 runs, 51 balls","14 innings, 14 outs, 384 runs, 457 balls","14 innings, 14 outs, 566 runs, 800 balls","19 innings, 17 outs, 898 runs, 1346 balls","22 innings, 21 outs, 659 runs, 1035 balls"
A McGrath,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","5 innings, 5 outs, 201 runs, 402 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
AD Mullally,yes,"0 innings, 0 outs, 0 runs, 0 balls","1 innings, 1 outs, 0 runs, 13 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
AF Giles,yes,"3 innings, 2 outs, 56 runs, 150 balls","11 innings, 9 outs, 65 runs, 254 balls","12 innings, 11 outs, 186 runs, 358 balls","15 innings, 14 outs, 317 runs, 811 balls","15 innings, 13 outs, 330 runs, 593 balls","19 innings, 15 outs, 376 runs, 716 balls"
AJ Stewart,yes,"20 innings, 18 outs, 560 runs, 1266 balls","18 innings, 15 outs, 502 runs, 1024 balls","16 innings, 13 outs, 609 runs, 1130 balls","12 innings, 11 outs, 385 runs, 770 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
AJ Strauss,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","18 innings, 16 outs, 971 runs, 1908 balls","22 innings, 22 outs, 789 runs, 1512 balls"
AJ Tudor,yes,"0 innings, 0 outs, 0 runs, 0 balls","3 innings, 3 outs, 14 runs, 47 balls","7 innings, 6 outs, 49 runs, 192 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
AR Caddick,yes,"17 innings, 15 outs, 116 runs, 389 balls","16 innings, 14 outs, 115 runs, 236 balls","16 innings, 13 outs, 107 runs, 299 balls","2 innings, 2 outs, 15 runs, 55 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
C White,yes,"10 innings, 8 outs, 240 runs, 531 balls","17 innings, 15 outs, 339 runs, 814 balls","11 innings, 8 outs, 307 runs, 538 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
CEW Silverwood,yes,"3 innings, 0 outs, 13 runs, 21 balls","0 innings, 0 outs, 0 runs, 0 balls","1 innings, 1 outs, 10 runs, 14 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
