Player,RightHanded,2000,2001,2002,2003,2004,2005
A Chopra,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","10 innings, 10 outs, 324 runs, 882 balls","9 innings, 9 outs, 113 runs, 381 balls","0 innings, 0 outs, 0 runs, 0 balls"
A Jadeja,yes,"2 innings, 2 outs, 13 runs, 72 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
A Kumble,yes,"6 innings, 5 outs, 113 runs, 342 balls","6 innings, 6 outs, 94 runs, 292 balls","12 innings, 8 outs, 102 runs, 269 balls","4 innings, 4 outs, 20 runs, 78 balls","14 innings, 11 outs, 142 runs, 391 balls","11 innings, 6 outs, 187 runs, 407 balls"
A Nehra,yes,"0 innings, 0 outs, 0 runs, 0 balls","5 innings, 2 outs, 26 runs, 82 balls","15 innings, 9 outs, 50 runs, 134 balls","4 innings, 3 outs, 0 runs, 31 balls","1 innings, 0 outs, 1 runs, 9 balls","0 innings, 0 outs, 0 runs, 0 balls"
A Ratra,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","10 innings, 9 outs, 163 runs, 533 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
AB Agarkar,yes,"6 innings, 5 outs, 90 runs, 178 balls","5 innings, 5 outs, 7 runs, 47 balls","8 innings, 7 outs, 231 runs, 388 balls","5 innings, 4 outs, 24 runs, 67 balls","5 innings, 4 outs, 99 runs, 142 balls","4 innings, 3 outs, 92 runs, 163 balls"
BKV Prasad,yes,"2 innings, 1 outs, 4 runs, 9 balls","6 innings, 2 outs, 42 runs, 149 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
D Dasgupta,yes,"0 innings, 0 outs, 0 runs, 0 balls","9 innings, 8 outs, 291 runs, 961 balls","4 innings, 4 outs, 53 runs, 165 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
G Gambhir,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","7 innings, 7 outs, 307 runs, 496 balls","14 innings, 12 outs, 377 runs, 640 balls"
Harbhajan Singh,yes,"0 innings, 0 outs, 0 runs, 0 balls","18 innings, 15 outs, 224 runs, 317 balls","20 innings, 19 outs, 258 runs, 308 balls","2 innings, 1 outs, 27 runs, 49 balls","9 innings, 9 outs, 155 runs, 264 balls","10 innings, 6 outs, 145 runs, 196 balls"
