Player,RightHanded,2000,2001,2002,2003,2004,2005
Aamer Sohail,no,"4 innings, 4 outs, 46 runs, 143 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Abdul Razzaq,yes,"16 innings, 15 outs, 368 runs, 1157 balls","5 innings, 4 outs, 208 runs, 291 balls","15 innings, 13 outs, 412 runs, 856 balls","4 innings, 4 outs, 121 runs, 307 balls","10 innings, 8 outs, 204 runs, 562 balls","9 innings, 9 outs, 197 runs, 572 balls"
Arshad Khan,yes,"4 innings, 3 outs, 16 runs, 112 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","1 innings, 0 outs, 1 runs, 6 balls"
Asim Kamal,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","3 innings, 3 outs, 138 runs, 317 balls","5 innings, four outs, 172 runs, 347 balls","12 innings, 12 outs, 407 runs, 854 balls"
Atiq-uz-Zaman,yes,"2 innings, 2 outs, 26 runs, 51 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Azhar Mahmood,yes,"1 innings, 1 outs, 0 runs, 4 balls","4 innings, 4 outs, 89 runs, 159 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Bazid Khan,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 32 runs, 47 balls"
Danish Kaneria,yes,"3 innings, 1 outs, 8 runs, 19 balls","0 innings, 0 outs, 0 runs, 0 balls","9 innings, 4 outs, 37 runs, 77 balls","6 innings, 5 outs, 8 runs, 33 balls","10 innings, 3 outs, 25 runs, 56 balls","15 innings, 8 outs, 44 runs, 116 balls"
Faisal Iqbal,yes,"0 innings, 0 outs, 0 runs, 0 balls","8 innings, 7 outs, 201 runs, 588 balls","8 innings, 8 outs, 167 runs, 289 balls","2 innings, 2 outs, 35 runs, 88 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Farhan Adil,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 33 runs, 69 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Fazl-e-Akbar,yes,"0 innings, 0 outs, 0 runs, 0 balls","3 innings, 1 outs, 0 runs, 25 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 37 runs, 65 balls","0 innings, 0 outs, 0 runs, 0 balls"
Hasan Raza,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","5 innings, 4 outs, 183 runs, 484 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","3 innings, 3 outs, 22 runs, 50 balls"
Humayun Farhat,yes,"0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 99999 runs, 64 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Ijaz Ahmed,yes,"2 innings, 2 outs, 10 runs, 44 balls","3 innings, 3 outs, 33 runs, 100 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Imran Farhat,no,"0 innings, 0 outs, 0 runs, 0 balls","5 innings, 5 outs, 115 runs, 239 balls","2 innings, 2 outs, 47 runs, 81 balls","7 innings, 7 outs, 289 runs, 604 balls","14 innings, 14 outs, 390 runs, 752 balls","0 innings, 0 outs, 0 runs, 0 balls"
Imran Nazir,yes,"6 innings, 6 outs, 167 runs, 282 balls","0 innings, 0 outs, 0 runs, 0 balls","5 innings, 5 outs, 183 runs, 329 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Inzamam-ul-Haq,yes,"19 innings, 18 outs, 1090 runs, 2082 balls","8 innings, 7 outs, 492 runs, 869 balls","14 innings, 14 outs, 823 runs, 1294 balls","12 innings, 9 outs, 558 runs, 1084 balls","10 innings, 10 outs, 372 runs, 774 balls","13 innings, 10 outs, 999 runs, 1496 balls"
Irfan Fazil,yes,"2 innings, 1 outs, 4 runs, 31 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
