PID,LOC,"Debug Time","Bugs REM"
B56677,23541,176 hours and 50 minutes,214
B66283,18571,24 hours and 20 minutes,450
B17818,22577,85 hours and 10 minutes,312
B72119,19176,109 hours and 40 minutes,203
B94138,49455,70 hours and 48 minutes,1164
B12473,21203,68 hours and 27 minutes,314
B78862,35640,134 hours and 40 minutes,523
B93181,20468,105 hours and 10 minutes,237
B27961,35133,160 hours and 9 minutes,467
B97185,18061,125 hours and 25 minutes,173
B95268,18380,10 hours and 25 minutes,781
B23917,29600,236 hours and 1 minutes,259
B87241,5282,35 hours and 56 minutes,50
B27719,30442,43 hours and 58 minutes,646
B88977,9695,48 hours and 19 minutes,121
B35496,18615,59 hours and 18 minutes,319
B52255,39904,52 hours and 36 minutes,1059
B73218,16655,51 hours and 41 minutes,252
B26761,45695,40 hours and 24 minutes,1730
B67681,45833,95 hours and 52 minutes,855
B65299,36936,269 hours and 51 minutes,343
B56394,15660,31 hours and 51 minutes,356
B34313,33262,62 hours and 21 minutes,818
B45927,11902,53 hours and 3 minutes,157
B31548,30825,153 hours and 9 minutes,387
B62927,5472,39 hours and 52 minutes,50
B87898,12771,86 hours and 21 minutes,123
B86938,9171,36 hours and 40 minutes,134
B33669,11717,75 hours and 33 minutes,123
B66181,18447,24 hours and 13 minutes,393
B69526,44063,23 hours and 33 minutes,1785
B78432,25510,183 hours and 35 minutes,239
B92999,49907,293 hours and 20 minutes,550
B34964,5722,39 hours and 48 minutes,54
B74225,18367,145 hours and 14 minutes,163
B88968,46383,295 hours and 31 minutes,475
B18387,2236,4 hours and 34 minutes,43
B99567,23353,83 hours and 51 minutes,346
B11187,17564,105 hours and 48 minutes,187
B93229,43000,278 hours and 6 minutes,434
B63689,36250,202 hours and 47 minutes,415
B14774,15685,89 hours and 0 minutes,177
B62624,1468,8 hours and 39 minutes,15
B46992,37544,55 hours and 10 minutes,811
B77758,14039,85 hours and 56 minutes,145
B89896,10218,19 hours and 7 minutes,244
B85187,10147,55 hours and 53 minutes,116
B75492,37908,284 hours and 35 minutes,343
B62186,11442,49 hours and 44 minutes,145
B43882,28751,77 hours and 14 minutes,549
B55263,45515,343 hours and 23 minutes,414
B16357,24657,140 hours and 11 minutes,271
B35584,10586,16 hours and 6 minutes,307
B57544,32653,157 hours and 50 minutes,396
B84385,28822,204 hours and 21 minutes,270
B99462,21039,101 hours and 22 minutes,251
B48345,26932,42 hours and 1 minutes,790
B74186,8062,33 hours and 57 minutes,111
B57469,23627,155 hours and 0 minutes,236
B54943,24342,70 hours and 44 minutes,451
B42732,24603,60 hours and 32 minutes,478
B63164,30495,239 hours and 10 minutes,266
B86967,8007,25 hours and 59 minutes,125
B55639,48585,26 hours and 13 minutes,1935
B46677,12372,81 hours and 11 minutes,124
B61832,22144,160 hours and 55 minutes,211
B99455,34574,133 hours and 6 minutes,477
B49883,29323,65 hours and 11 minutes,630
B85449,15787,103 hours and 40 minutes,156
B69485,24871,25 hours and 22 minutes,698
B21876,30449,36 hours and 25 minutes,955
B41274,38343,212 hours and 25 minutes,430
B55319,38654,193 hours and 20 minutes,472
B26417,42294,179 hours and 28 minutes,569
B65476,21607,23 hours and 5 minutes,610
B71934,9642,19 hours and 7 minutes,197
B46217,14760,83 hours and 42 minutes,164
B34383,14593,69 hours and 51 minutes,191
B72365,19733,126 hours and 3 minutes,200
B99727,45412,341 hours and 29 minutes,416
