PID,LOC,"Debug Time","Bugs REM"
A96844,46262,38 hours and 47 minutes,1707
A61326,32157,204 hours and 49 minutes,325
A15861,24016,105 hours and 32 minutes,301
A12447,15771,13 hours and 48 minutes,425
A69647,28707,152 hours and 35 minutes,349
A78943,15476,30 hours and 7 minutes,281
A98367,25425,24 hours and 32 minutes,731
A93777,10313,12 hours and 24 minutes,313
A84831,15809,63 hours and 26 minutes,223
A13139,41297,150 hours and 29 minutes,662
A61181,21268,68 hours and 47 minutes,354
A57891,40601,220 hours and 28 minutes,464
A52817,29271,59 hours and 25 minutes,559
A42318,27378,92 hours and 41 minutes,416
A37466,25150,154 hours and 13 minutes,264
A34143,47380,346 hours and 37 minutes,438
A83293,26466,108 hours and 42 minutes,351
A95822,16232,11 hours and 20 minutes,509
A24221,19667,83 hours and 19 minutes,257
A23119,15336,23 hours and 41 minutes,317
A54842,33993,242 hours and 42 minutes,325
A58699,34784,260 hours and 2 minutes,312
A99977,43081,151 hours and 28 minutes,651
A62726,20405,150 hours and 48 minutes,193
A43651,32342,127 hours and 54 minutes,453
A23274,27626,130 hours and 34 minutes,354
A54229,1703,5 hours and 12 minutes,27
A18849,30471,219 hours and 38 minutes,286
A18162,30730,50 hours and 52 minutes,736
A89148,47745,276 hours and 49 minutes,525
A96971,24076,32 hours and 56 minutes,575
A23262,8061,57 hours and 9 minutes,74
A92368,44553,300 hours and 47 minutes,428
A45177,11374,21 hours and 26 minutes,240
A64368,18265,25 hours and 59 minutes,524
A46854,16762,131 hours and 30 minutes,149
A64798,20341,122 hours and 9 minutes,224
A31178,43396,231 hours and 13 minutes,496
A79736,18272,20 hours and 58 minutes,501
A38369,23060,105 hours and 56 minutes,299
A33286,6974,19 hours and 51 minutes,117
A98335,25606,129 hours and 38 minutes,321
A59868,28056,203 hours and 4 minutes,262
A35983,36574,196 hours and 14 minutes,423
A43761,34440,91 hours and 5 minutes,665
A42856,6955,22 hours and 46 minutes,116
A52268,31174,222 hours and 46 minutes,293
A81227,43386,172 hours and 29 minutes,650
A84459,27896,155 hours and 56 minutes,335
A97521,47707,132 hours and 11 minutes,765
A33625,39965,282 hours and 48 minutes,386
A87926,20141,109 hours and 59 minutes,223
A78383,24003,146 hours and 49 minutes,256
A33419,22813,171 hours and 38 minutes,207
A22866,21251,129 hours and 3 minutes,215
A53996,31132,230 hours and 59 minutes,288
A79973,12384,97 hours and 46 minutes,109
A51577,9653,16 hours and 20 minutes,223
A22212,37066,207 hours and 59 minutes,407
A76242,19715,132 hours and 54 minutes,197
A57774,17489,96 hours and 48 minutes,200
A99366,28093,135 hours and 57 minutes,362
A58969,39897,168 hours and 41 minutes,518
A35186,28190,176 hours and 13 minutes,290
A13362,12177,88 hours and 39 minutes,114
A28564,20949,143 hours and 46 minutes,203
A82398,35223,227 hours and 7 minutes,358
A93592,19596,155 hours and 36 minutes,170
A58678,14637,76 hours and 1 minutes,173
A49594,42887,156 hours and 21 minutes,663
A55826,31044,211 hours and 0 minutes,312
A79643,30973,232 hours and 32 minutes,282
A72732,47507,266 hours and 35 minutes,525
A88364,15649,71 hours and 49 minutes,207
A63875,34883,198 hours and 5 minutes,390
A56349,37242,243 hours and 0 minutes,379
A44158,46111,79 hours and 22 minutes,1016
A98689,27455,190 hours and 57 minutes,266
A55592,34490,22 hours and 45 minutes,1140
A75125,24735,75 hours and 52 minutes,433
A79593,8955,59 hours and 38 minutes,90
A29299,37654,111 hours and 21 minutes,698
A65693,9225,52 hours and 25 minutes,98
A21111,46751,57 hours and 15 minutes,1396
A75732,10913,40 hours and 21 minutes,172
A74618,14042,67 hours and 4 minutes,175
A64793,28399,184 hours and 15 minutes,293
A23193,24036,181 hours and 9 minutes,219
A33234,45675,147 hours and 15 minutes,816
A98928,17075,28 hours and 14 minutes,411
A99355,3069,18 hours and 16 minutes,32
A86368,4423,28 hours and 4 minutes,45
A17227,12427,18 hours and 21 minutes,353
A59768,33152,148 hours and 12 minutes,435
A48438,34315,132 hours and 49 minutes,512
A31427,33279,164 hours and 39 minutes,413
A28686,29914,239 hours and 3 minutes,261
A83996,24584,81 hours and 13 minutes,408
A49864,18700,121 hours and 17 minutes,186
A62898,30068,119 hours and 35 minutes,421
A21771,24357,51 hours and 29 minutes,482
A87197,39363,308 hours and 53 minutes,346
A89812,3175,12 hours and 15 minutes,43
A55438,7796,47 hours and 12 minutes,81
A67794,34154,268 hours and 20 minutes,302
A18262,2871,9 hours and 44 minutes,47
A42559,18414,143 hours and 18 minutes,163
A63874,22062,14 hours and 34 minutes,1119
A66381,33063,58 hours and 15 minutes,709
A16592,24585,111 hours and 13 minutes,331
A95416,15847,113 hours and 51 minutes,150
A76671,18780,87 hours and 55 minutes,243
A11831,19743,48 hours and 52 minutes,419
A74149,11324,73 hours and 29 minutes,114
A23958,45545,36 hours and 36 minutes,1544
A28729,39283,90 hours and 22 minutes,693
A52253,28857,107 hours and 22 minutes,421
A79585,7048,54 hours and 53 minutes,63
A98225,7137,23 hours and 23 minutes,123
A85885,30001,193 hours and 24 minutes,309
A97653,4019,30 hours and 48 minutes,36
A38493,39328,213 hours and 3 minutes,456
A98121,42678,30 hours and 53 minutes,1165
A22585,29501,27 hours and 23 minutes,810
A94766,5646,36 hours and 2 minutes,58
A68583,36117,204 hours and 34 minutes,413
A89365,35621,18 hours and 54 minutes,1673
A67498,34296,91 hours and 56 minutes,582
A73152,33605,257 hours and 7 minutes,297
A92862,39717,216 hours and 53 minutes,468
A74171,4287,4 hours and 21 minutes,123
A87396,38214,91 hours and 8 minutes,689
A41666,27226,155 hours and 24 minutes,301
A64717,22113,93 hours and 31 minutes,307
A57723,28798,52 hours and 12 minutes,723
A43593,24287,73 hours and 38 minutes,451
A21759,19994,98 hours and 8 minutes,234
A53897,40533,308 hours and 50 minutes,366
A21549,42097,79 hours and 51 minutes,884
A58348,31062,127 hours and 6 minutes,421
A68826,25641,78 hours and 33 minutes,388
A13767,36770,99 hours and 32 minutes,680
A98275,44597,328 hours and 21 minutes,406
A61587,10994,18 hours and 49 minutes,241
A19411,11907,60 hours and 7 minutes,155
A99718,8294,29 hours and 30 minutes,124
A32995,21215,13 hours and 49 minutes,701
A55923,11557,23 hours and 8 minutes,257
A99438,33949,207 hours and 59 minutes,355
A69474,34215,34 hours and 42 minutes,1123
A14759,24240,176 hours and 6 minutes,228
A29241,30639,228 hours and 18 minutes,284
A11941,8154,23 hours and 45 minutes,136
A29587,10935,59 hours and 13 minutes,127
A48619,8316,14 hours and 6 minutes,250
A84968,26851,22 hours and 48 minutes,1047
A78792,30637,87 hours and 37 minutes,589
A17999,7283,32 hours and 6 minutes,94
A11453,40508,33 hours and 16 minutes,1487
A17838,8291,13 hours and 14 minutes,179
A26166,24211,28 hours and 11 minutes,750
A86547,8380,25 hours and 22 minutes,134
A74655,44988,110 hours and 24 minutes,819
A39723,41572,282 hours and 21 minutes,407
A83243,22091,52 hours and 26 minutes,496
A17526,40484,287 hours and 43 minutes,388
A86721,33155,100 hours and 28 minutes,511
A54276,41895,286 hours and 31 minutes,409
A36855,31840,228 hours and 34 minutes,299
A21827,28163,56 hours and 32 minutes,661
A34784,17330,12 hours and 13 minutes,367
A94929,2926,9 hours and 27 minutes,48
A74131,30233,176 hours and 33 minutes,329
A72388,3088,21 hours and 34 minutes,29
A21464,19209,74 hours and 19 minutes,276
A32327,14390,70 hours and 32 minutes,172
A45181,34657,148 hours and 52 minutes,487
A45671,35637,196 hours and 29 minutes,409
A47657,42900,94 hours and 52 minutes,920
A29529,11050,14 hours and 4 minutes,333
A83242,38991,287 hours and 36 minutes,358
A52779,9783,24 hours and 6 minutes,184
A43735,35039,37 hours and 3 minutes,983
A53371,18924,80 hours and 23 minutes,269
A14931,6164,14 hours and 9 minutes,116
A55539,47987,256 hours and 58 minutes,586
A13574,6313,22 hours and 29 minutes,93
A79123,34724,178 hours and 18 minutes,433
A37749,39611,126 hours and 30 minutes,588
A47277,45545,104 hours and 52 minutes,910
A64367,36204,57 hours and 36 minutes,817
