FError,LOC,XP,foosball,Partays,B$+
0,38662,extensive,yes,none,yes
0,24694,extensive,yes,none,yes
0,19675,extensive,yes,some,yes
0,48355,moderate,yes,some,no
1,36171,extensive,no,some,no
0,11048,minimal,yes,some,no
0,12826,moderate,yes,some,yes
1,50601,moderate,no,some,no
0,48527,extensive,yes,some,yes
1,54979,minimal,yes,none,no
1,39491,minimal,no,some,no
0,20360,moderate,yes,some,no
1,18795,moderate,no,many,no
1,12401,minimal,no,many,no
1,35136,minimal,yes,some,no
1,24929,extensive,yes,none,no
1,35433,moderate,yes,some,yes
1,49874,minimal,yes,some,yes
0,32400,extensive,no,none,no
1,67953,minimal,yes,some,no
0,17046,moderate,no,some,no
0,39995,extensive,no,some,yes
0,29911,extensive,yes,some,yes
1,43878,extensive,yes,many,yes
1,26477,extensive,yes,some,yes
0,52052,moderate,no,none,no
0,21310,extensive,yes,none,yes
0,22483,moderate,no,some,no
0,13976,moderate,yes,some,yes
0,3127,minimal,yes,some,yes
0,25844,extensive,no,none,yes
1,23817,minimal,yes,none,yes
0,24517,extensive,no,some,no
0,3279,extensive,no,none,yes
0,12558,moderate,no,none,no
1,20569,extensive,yes,many,yes
1,60017,minimal,yes,some,yes
1,6981,moderate,yes,some,yes
0,10954,extensive,no,some,yes
1,49458,moderate,yes,none,no
1,26848,extensive,yes,some,yes
0,26563,extensive,no,some,yes
1,7321,minimal,yes,some,no
1,23367,minimal,yes,some,no
0,18848,extensive,no,many,no
1,56079,extensive,yes,none,yes
0,36129,extensive,yes,some,no
1,26225,moderate,yes,many,yes
0,8891,minimal,yes,some,no
0,15241,minimal,no,none,no
1,7011,extensive,yes,many,yes
0,28318,moderate,yes,many,no
1,22788,extensive,yes,none,no
0,16801,extensive,yes,some,no
0,36069,extensive,yes,many,yes
1,48408,extensive,yes,many,yes
0,21923,extensive,yes,many,no
0,32225,extensive,yes,some,yes
0,10662,moderate,yes,some,no
0,6472,extensive,yes,none,yes
0,36385,moderate,yes,none,no
1,16458,minimal,yes,many,no
0,3844,moderate,yes,many,no
0,27617,moderate,no,some,no
1,25202,moderate,no,some,no
0,8252,moderate,no,some,no
1,88316,minimal,yes,none,no
1,19060,extensive,no,many,no
0,35770,extensive,no,some,no
1,46327,minimal,yes,some,no
0,31640,extensive,yes,none,yes
1,18258,minimal,no,many,no
0,18241,extensive,yes,some,yes
1,53565,moderate,yes,some,no
1,54501,moderate,no,some,yes
0,37227,extensive,yes,none,no
1,33571,moderate,yes,many,yes
0,34103,moderate,no,none,no
1,26842,minimal,no,some,yes
0,8311,moderate,yes,some,yes
0,31454,extensive,yes,some,no
0,24002,extensive,yes,none,yes
0,23539,moderate,no,some,no
1,22021,extensive,no,many,yes
1,33725,minimal,no,some,no
1,39330,minimal,yes,none,no
0,17425,moderate,no,none,no
0,26680,minimal,no,some,no
1,41263,moderate,yes,many,yes
1,62533,extensive,yes,some,yes
0,15939,extensive,no,many,yes
1,42535,moderate,yes,many,no
1,19304,moderate,yes,none,yes
0,13499,moderate,no,none,no
0,30943,extensive,yes,some,yes
0,32709,extensive,yes,some,yes
1,34733,extensive,no,none,yes
0,23500,moderate,yes,some,yes
1,18194,minimal,no,none,no
1,20740,minimal,no,some,no
1,58013,minimal,yes,none,yes
0,48816,extensive,no,none,no
1,29093,minimal,no,some,no
0,17983,moderate,yes,some,no
1,55232,minimal,no,some,no
0,18905,extensive,yes,some,yes
1,6479,minimal,yes,some,yes
1,58903,minimal,yes,some,no
0,9291,minimal,yes,some,no
0,18735,extensive,yes,none,yes
0,26143,moderate,yes,none,no
0,27589,extensive,yes,some,no
0,34952,moderate,no,none,no
1,58916,minimal,yes,some,yes
0,24490,minimal,no,some,no
1,57946,minimal,yes,some,no
0,12529,extensive,yes,some,yes
0,30779,extensive,yes,some,yes
0,20844,minimal,no,some,no
0,46065,extensive,yes,none,yes
0,5762,minimal,yes,many,no
1,20231,minimal,no,some,no
0,40315,moderate,yes,some,yes
0,38312,minimal,no,many,no
1,7664,moderate,yes,some,no
1,54489,moderate,no,none,no
1,53836,moderate,no,some,yes
1,60480,moderate,yes,some,yes
0,9759,minimal,yes,none,no
1,34318,moderate,yes,some,no
0,30127,moderate,yes,none,no
0,32316,moderate,yes,none,yes
0,79760,extensive,no,some,yes
1,39800,moderate,yes,many,yes
1,11469,minimal,yes,none,no
0,16167,extensive,yes,none,yes
0,30102,extensive,no,some,yes
1,56911,moderate,yes,none,no
0,27406,moderate,no,some,yes
0,22327,minimal,no,none,no
0,33912,extensive,yes,some,yes
1,31664,minimal,yes,some,yes
0,16772,extensive,no,many,yes
1,25699,minimal,no,none,no
1,29438,extensive,no,some,no
1,30455,moderate,yes,many,yes
0,36479,moderate,no,some,yes
1,25245,extensive,yes,none,no
1,31210,moderate,yes,some,yes
0,24689,extensive,yes,none,yes
0,17893,moderate,no,some,yes
0,36630,extensive,yes,some,yes
1,43521,moderate,yes,many,yes
0,48466,extensive,no,some,yes
1,55933,moderate,yes,none,yes
0,10641,extensive,yes,some,yes
0,33098,minimal,yes,none,no
